match_id,team_a_id,team_b_id,team_a_name,team_b_name,match_date,competition_name,label,delta_avg_possession_pct,delta_avg_ppda,delta_avg_pressure_success_rate,delta_avg_xg_created_p90,delta_avg_xg_ratio,delta_avg_progressive_carry_pct,delta_avg_pass_completion_pct,delta_avg_passes_final_third_p90,delta_avg_pass_completion_under_pressure_pct,delta_avg_set_piece_shot_pct,is_home,form_points_delta,archetype_matchup_id,delta_matches_played,competition_weight
3930158,770,942,Germany,Scotland,2024-06-14,UEFA Euro,win,1.887137308658898,-1.034432234432234,1.2014885699096238,2.0765217391304347,3.6239907727797,1.925773195876288,1.4980079681274896,2.9420228523063896,1.4980079681274896,1.132429614181439,1,4.0,3,9,0.8
3930158,942,770,Scotland,Germany,2024-06-14,UEFA Euro,loss,-1.887137308658898,1.034432234432234,-1.2014885699096238,-2.0765217391304347,-3.6239907727797,-1.925773195876288,-1.4980079681274896,-2.9420228523063896,-1.4980079681274896,-1.132429614181439,0,-4.0,12,-9,0.8
3930159,916,773,Hungary,Switzerland,2024-06-15,UEFA Euro,loss,-1.3826822024217493,1.0256410256410258,-1.1823498139287618,-1.7147826086956524,0.15340253748558247,-0.6144329896907215,-1.034262948207172,-1.350099752131068,-1.034262948207172,-0.5484880083420232,1,-5.0,13,-12,0.8
3930159,773,916,Switzerland,Hungary,2024-06-15,UEFA Euro,win,1.3826822024217493,-1.0256410256410258,1.1823498139287618,1.7147826086956524,-0.15340253748558247,0.6144329896907215,1.034262948207172,1.350099752131068,1.034262948207172,0.5484880083420232,0,5.0,7,12,0.8
3930160,772,785,Spain,Croatia,2024-06-15,UEFA Euro,win,1.312314370573452,-0.9992673992673989,0.9654439128123344,0.6730434782608694,3.877739331026528,0.008247422680412952,1.0119521912350602,2.024303246478447,1.0119521912350602,-0.13764337851929093,1,0.0,1,0,0.8
3930160,785,772,Croatia,Spain,2024-06-15,UEFA Euro,loss,-1.312314370573452,0.9992673992673989,-0.9654439128123344,-0.6730434782608694,-3.877739331026528,-0.008247422680412952,-1.0119521912350602,-2.024303246478447,-1.0119521912350602,0.13764337851929093,0,0.0,4,0,0.8
3930161,914,906,Italy,Albania,2024-06-15,UEFA Euro,win,1.7838702307516563,-2.663736263736264,1.32695374800638,2.0921739130434784,2.8650519031141872,1.422680412371134,0.8382470119521914,2.3360135421074903,0.8382470119521914,1.3993743482794578,1,0.0,7,8,0.8
3930161,906,914,Albania,Italy,2024-06-15,UEFA Euro,loss,-1.7838702307516563,2.663736263736264,-1.32695374800638,-2.0921739130434784,-2.8650519031141872,-1.422680412371134,-0.8382470119521914,-2.3360135421074903,-0.8382470119521914,-1.3993743482794578,0,0.0,13,-8,0.8
3930162,944,776,Slovenia,Denmark,2024-06-16,UEFA Euro,draw,-1.835046835732236,0.9904761904761905,-1.0866560340244558,0.08521739130434808,-0.9584775086505191,0.6927835051546388,-1.4661354581673298,-1.297382262257421,-1.4661354581673298,0.32950990615224196,1,0.0,9,-13,0.8
3930162,776,944,Denmark,Slovenia,2024-06-16,UEFA Euro,draw,1.835046835732236,-0.9904761904761905,1.0866560340244558,-0.08521739130434808,0.9584775086505191,-0.6927835051546388,1.4661354581673298,1.297382262257421,1.4661354581673298,-0.32950990615224196,0,0.0,6,13,0.8
3930163,786,768,Serbia,England,2024-06-16,UEFA Euro,loss,-0.6735206762622797,-0.2783882783882783,-0.1935140882509305,-1.3634782608695655,-1.760092272202999,1.6783505154639173,-0.8780876494023904,-0.6708179674747595,-0.8780876494023904,-1.9228362877997915,1,-9.0,5,-17,0.8
3930163,768,786,England,Serbia,2024-06-16,UEFA Euro,win,0.6735206762622797,0.2783882783882783,0.1935140882509305,1.3634782608695655,1.760092272202999,-1.6783505154639173,0.8780876494023904,0.6708179674747595,0.8780876494023904,1.9228362877997915,0,9.0,5,17,0.8
3930164,782,908,Belgium,Slovakia,2024-06-17,UEFA Euro,loss,0.7374914324880053,-0.24615384615384633,0.2296650717703355,1.2139130434782612,1.5847750865051902,1.3072164948453604,0.5641434262948188,0.8354996674928965,0.5641434262948188,0.2440041710114702,1,4.0,7,12,0.8
3930164,908,782,Slovakia,Belgium,2024-06-17,UEFA Euro,win,-0.7374914324880053,0.24615384615384633,-0.2296650717703355,-1.2139130434782612,-1.5847750865051902,-1.3072164948453604,-0.5641434262948188,-0.8354996674928965,-0.5641434262948188,-0.2440041710114702,0,-4.0,13,-12,0.8
3930165,915,771,Austria,France,2024-06-17,UEFA Euro,loss,0.21110349554489394,-1.7260073260073263,0.3615098351940458,-1.0591304347826087,-0.7093425605536332,-0.05360824742268078,-0.33944223107569615,-0.21764101323982832,-0.33944223107569615,-1.4661105318039627,1,-4.0,5,-16,0.8
3930165,771,915,France,Austria,2024-06-17,UEFA Euro,win,-0.21110349554489394,1.7260073260073263,-0.3615098351940458,1.0591304347826087,0.7093425605536332,0.05360824742268078,0.33944223107569615,0.21764101323982832,0.33944223107569615,1.4661105318039627,0,4.0,5,16,0.8
3930166,780,912,Portugal,Czech Republic,2024-06-18,UEFA Euro,win,1.3022618231665521,0.161172161172161,1.1164274322169065,1.151304347826087,1.5490196078431375,-0.40412371134020625,1.7035856573705161,1.2722326340608188,1.7035856573705161,1.8832116788321167,1,2.0,6,10,0.8
3930166,912,780,Czech Republic,Portugal,2024-06-18,UEFA Euro,loss,-1.3022618231665521,-0.161172161172161,-1.1164274322169065,-1.151304347826087,-1.5490196078431375,0.40412371134020625,-1.7035856573705161,-1.2722326340608188,-1.7035856573705161,-1.8832116788321167,0,-2.0,9,-10,0.8
3930167,785,906,Croatia,Albania,2024-06-19,UEFA Euro,draw,1.80123372172721,-3.484249084249084,1.2503987240829353,2.325217391304348,1.2652825836216839,2.0288659793814428,0.2517928286852585,1.7778852548213526,0.2517928286852585,0.8654848800834203,1,5.0,7,18,0.8
3930167,906,785,Albania,Croatia,2024-06-19,UEFA Euro,draw,-1.80123372172721,3.484249084249084,-1.2503987240829353,-2.325217391304348,-1.2652825836216839,-2.0288659793814428,-0.2517928286852585,-1.7778852548213526,-0.2517928286852585,-0.8654848800834203,0,-5.0,13,-18,0.8
3930168,770,916,Germany,Hungary,2024-06-19,UEFA Euro,win,2.634681288553803,-2.1538461538461537,1.6204146730462532,2.034782608695652,3.2214532871972317,1.278350515463917,1.7163346613545818,3.5023275497249253,1.7163346613545818,0.18143899895724716,1,5.0,3,9,0.8
3930168,916,770,Hungary,Germany,2024-06-19,UEFA Euro,loss,-2.634681288553803,2.1538461538461537,-1.6204146730462532,-2.034782608695652,-3.2214532871972317,-1.278350515463917,-1.7163346613545818,-3.5023275497249253,-1.7163346613545818,-0.18143899895724716,0,-5.0,12,-9,0.8
3930169,942,773,Scotland,Switzerland,2024-06-19,UEFA Euro,draw,-0.6351382225268443,-0.09377289377289383,-0.7634237107921323,-1.7565217391304349,-0.24913494809688577,-1.2618556701030927,-0.8159362549800797,-0.7897950547125323,-0.8159362549800797,-1.499478623566215,1,-8.0,13,-12,0.8
3930169,773,942,Switzerland,Scotland,2024-06-19,UEFA Euro,draw,0.6351382225268443,0.09377289377289383,0.7634237107921323,1.7565217391304349,0.24913494809688577,1.2618556701030927,0.8159362549800797,0.7897950547125323,0.8159362549800797,1.499478623566215,0,8.0,7,12,0.8
3930170,944,786,Slovenia,Serbia,2024-06-20,UEFA Euro,draw,-1.4457390907013934,1.060805860805861,-1.3184476342371088,0.7182608695652175,-0.25836216839677045,-0.8536082474226804,-1.1760956175298787,-0.8974064445922252,-1.1760956175298787,1.2554744525547445,1,0.0,9,-5,0.8
3930170,786,944,Serbia,Slovenia,2024-06-20,UEFA Euro,draw,1.4457390907013934,-1.060805860805861,1.3184476342371088,-0.7182608695652175,0.25836216839677045,0.8536082474226804,1.1760956175298787,0.8974064445922252,1.1760956175298787,-1.2554744525547445,0,0.0,6,5,0.8
